team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Chelsea FC,Chelsea,2022/2023,England,35,18,17,0,11,6,5,10,6,4,14,6,8,1.23,1.33,1.12,11,15,10,11,36,41,-5,77,37,40,19,17,18,23,1,-6,87,85,90,77,90,67,10,6,4,16,7,9,13,7,6,16,9,7,193,107,86,80,40,40,59,59,60,443,231,212,178,90,88,265,141,124,361,179,182,14,5,9,21,5,16,-7,0,-7,7,3,4,18,11,7,10,4,6,1.11,1.11,1.12,2.2,2.06,2.35,1.03,1.06,1,1.17,1,1.35,1,0.56,1.47,0.4,0.28,0.53,0.6,0.28,0.94,31,23,15,7,1,0,16,11,7,3,0,0,15,12,8,4,1,0,4,12,20,28,34,35,2,7,11,15,18,18,2,5,9,13,16,17,89,66,43,20,3,0,89,61,39,17,0,0,88,71,47,24,6,0,11,34,57,80,97,100,11,39,61,83,100,100,12,29,53,76,94,100,21,10,4,8,2,0,13,8,4,60,29,11,44,11,0,76,47,24,31,33,29,9,29,33,24,46,39,53,37,39,35,46,50,41,20,13,7,57,72,41,23,14,9,66,78,53,6,1,5,17,6,29,20,17,24,51,61,41,29,22,35,5.51,5.94,5.06,2.29,2.22,2.35,91,80,60,56,37,34,28,23,1.58,1.61,1.55,1.45,1.37,1.54,49,2,6,2,1,6,5,4,4,6,2,4,4,7,5,1,11,2,5,29,33,24,40,33,47,14
West Ham United FC,West Ham United,2022/2023,England,36,18,18,0,10,7,3,7,4,3,19,7,12,1.03,1.39,0.67,15,14,17,15,38,52,-14,90,46,44,23,15,23,29,0,-14,85,70,108,63,70,56,9,6,3,14,8,6,13,4,9,14,8,6,192,96,96,42,18,24,41,41,41,468,249,219,169,86,83,299,163,136,330,159,171,22,13,9,27,15,12,-5,-2,-3,8,5,3,14,6,8,14,7,7,1.06,1.17,0.94,2.5,2.56,2.44,1.06,1.28,0.83,1.44,1.28,1.61,1.36,1.56,1.17,0.61,0.72,0.5,0.75,0.83,0.67,36,27,13,9,2,2,18,16,6,4,1,1,18,11,7,5,1,1,0,9,23,27,34,34,0,2,12,14,17,17,0,7,11,13,17,17,100,75,36,25,6,6,100,89,33,22,6,6,100,61,39,28,6,6,0,25,64,75,94,94,0,11,67,78,94,94,0,39,61,72,94,94,29,14,4,17,9,2,12,5,2,81,39,11,94,50,11,67,28,11,28,39,17,16,25,33,17,39,44,33,36,22,50,39,44,33,15,6,9,42,33,50,18,6,12,50,33,67,10,7,3,28,39,17,22,28,17,39,33,44,39,39,39,5.33,5.33,5.33,1.17,1,1.33,86,75,72,53,50,39,33,17,1.48,1.54,1.41,1.60,1.40,1.80,61,2,3,8,5,5,3,4,5,3,6,10,4,3,7,5,8,3,6,19,22,17,53,39,67,14
Newcastle United FC,Newcastle United,2022/2023,England,35,17,18,0,18,10,8,12,5,7,5,2,3,1.89,2.06,1.72,3,6,3,3,63,31,32,94,45,49,32,31,13,18,19,13,50,48,52,101,118,90,13,8,5,18,7,11,10,4,6,17,10,7,248,137,111,59,28,31,53,54,52,489,274,215,217,114,103,272,160,112,366,182,184,29,13,16,14,6,8,15,7,8,13,6,7,15,8,7,7,3,4,1.54,1.53,1.56,2.69,2.65,2.72,1.8,1.88,1.72,0.89,0.76,1,1.23,1.12,1.33,0.83,0.76,0.89,0.4,0.35,0.44,29,26,17,10,7,4,15,12,6,5,3,3,14,14,11,5,4,1,6,9,18,25,28,31,2,5,11,12,14,14,4,4,7,13,14,17,83,74,49,29,20,11,88,71,35,29,18,18,78,78,61,28,22,6,17,26,51,71,80,89,12,29,65,71,82,82,22,22,39,72,78,94,24,12,5,10,5,2,14,7,3,69,34,14,59,29,12,78,39,17,51,59,44,10,37,47,28,51,41,61,29,24,33,49,59,39,22,12,10,63,71,56,18,10,8,51,59,44,6,2,4,17,12,22,37,35,39,43,47,39,20,18,22,7.09,8.06,6.17,1.69,1.65,1.72,91,91,83,74,51,46,37,17,1.79,2.02,1.58,1.31,1.14,1.48,91,7,3,7,8,5,9,8,5,11,3,4,2,3,3,2,7,3,4,34,29,39,14,12,17,14
Aston Villa FC,Aston Villa,2022/2023,England,36,18,18,0,17,11,6,6,2,4,13,5,8,1.58,1.94,1.22,8,7,8,8,48,44,4,92,51,41,31,17,20,24,11,-7,68,52,96,74,81,68,12,7,5,17,9,8,8,2,6,20,13,7,157,87,70,73,33,40,50,51,50,427,220,207,177,103,74,250,117,133,374,162,212,23,17,6,23,9,14,0,8,-8,12,11,1,13,3,10,11,4,7,1.36,2,0.72,2.56,2.83,2.28,1.33,1.72,0.94,1.22,1.11,1.33,1.28,1.44,1.11,0.64,0.94,0.33,0.64,0.5,0.78,35,28,17,8,2,2,18,14,10,5,2,2,17,14,7,3,0,0,1,8,19,28,34,34,0,4,8,13,16,16,1,4,11,15,18,18,97,78,47,22,6,6,100,78,56,28,11,11,94,78,39,17,0,0,3,22,53,78,94,94,0,22,44,72,89,89,6,22,61,83,100,100,28,11,5,15,5,4,13,6,1,78,31,14,83,28,22,72,33,6,47,61,33,19,33,39,28,47,50,44,22,11,33,56,72,39,18,12,6,50,67,33,18,6,12,50,33,67,8,3,5,22,17,28,33,61,6,36,17,56,31,22,39,4.36,4.83,3.89,2.03,1.83,2.22,72,72,64,56,50,36,28,19,1.39,1.49,1.29,1.46,1.27,1.66,56,9,6,4,3,4,4,4,7,7,7,4,2,5,6,3,5,5,7,17,11,22,36,28,44,14
Fulham FC,Fulham,2022/2023,England,36,18,18,0,15,8,7,6,4,2,15,6,9,1.42,1.56,1.28,10,11,6,10,52,49,3,101,56,45,29,23,27,22,2,1,63,56,70,66,60,74,9,3,6,21,12,9,9,4,5,17,9,8,172,99,73,77,26,51,49,51,46,431,242,189,170,95,75,261,147,114,350,155,195,20,12,8,24,15,9,-4,-3,-1,10,7,3,14,3,11,12,8,4,1.22,1.33,1.11,2.81,3.11,2.5,1.44,1.61,1.28,1.36,1.5,1.22,1.22,1.5,0.94,0.56,0.67,0.44,0.67,0.83,0.5,33,26,23,10,6,1,17,15,13,5,3,1,16,11,10,5,3,0,3,10,13,26,30,35,1,3,5,13,15,17,2,7,8,13,15,18,92,72,64,28,17,3,94,83,72,28,17,6,89,61,56,28,17,0,8,28,36,72,83,97,6,17,28,72,83,94,11,39,44,72,83,100,27,11,6,15,6,6,12,5,0,75,31,17,83,33,33,67,28,0,42,44,39,1,25,17,33,58,67,50,25,22,28,47,50,44,18,9,9,50,50,50,19,9,10,53,50,56,8,3,5,22,17,28,28,39,17,39,17,61,33,44,22,4.78,5.50,4.06,2.14,1.44,2.83,89,83,69,50,44,33,19,14,1.43,1.58,1.27,1.64,1.60,1.68,78,3,6,5,5,3,9,5,7,9,3,5,7,5,6,5,3,6,9,17,22,11,42,33,50,11
Brighton & Hove Albion FC,Brighton & Hove Albion,2022/2023,England,34,17,17,0,17,9,8,7,3,4,10,5,5,1.71,1.76,1.65,6,9,4,6,66,45,21,111,52,59,33,33,19,26,14,7,46,46,46,68,80,59,12,9,3,19,6,13,5,4,1,21,9,12,220,134,86,46,27,19,61,61,60,555,305,250,240,132,108,315,173,142,347,179,168,30,14,16,22,11,11,8,3,5,10,4,6,19,10,9,5,3,2,1.44,1.29,1.59,3.26,3.06,3.47,1.94,1.94,1.94,1.32,1.12,1.53,1.53,1.47,1.59,0.88,0.82,0.94,0.65,0.65,0.65,32,26,22,15,9,6,15,9,9,7,6,5,17,17,13,8,3,1,2,8,12,19,25,28,2,8,8,10,11,12,0,0,4,9,14,16,94,76,65,44,26,18,88,53,53,41,35,29,100,100,76,47,18,6,6,24,35,56,74,82,12,47,47,59,65,71,0,0,24,53,82,94,24,17,7,10,7,5,14,10,2,71,50,21,59,41,29,82,59,12,50,53,47,8,35,53,18,56,35,76,15,24,6,62,53,71,19,11,8,56,65,47,15,10,5,44,59,29,10,3,7,29,18,41,29,24,35,56,59,53,15,18,12,6.47,7.88,5.06,1.35,1.59,1.12,91,79,68,59,38,24,21,15,2.15,2.34,1.95,1.23,1.09,1.37,82,6,8,7,6,5,9,9,3,13,5,3,5,7,6,3,6,6,4,21,18,24,29,29,29,9
Nottingham Forest FC,Nottingham Forest,2022/2023,England,36,18,18,0,8,7,1,10,6,4,18,5,13,0.94,1.5,0.39,16,12,20,16,36,67,-31,103,50,53,26,10,24,43,2,-33,90,63,161,48,68,38,7,5,2,18,11,7,12,2,10,17,12,5,121,47,74,79,46,33,38,38,38,370,193,177,146,84,62,224,109,115,402,207,195,18,14,4,26,11,15,-8,3,-11,9,6,3,14,7,7,13,5,8,1.14,1.39,0.89,2.86,2.78,2.94,1,1.44,0.56,1.86,1.33,2.39,1.22,1.39,1.06,0.5,0.78,0.22,0.72,0.61,0.83,35,29,17,13,6,2,18,14,7,6,3,1,17,15,10,7,3,1,1,7,19,23,30,34,0,4,11,12,15,17,1,3,8,11,15,17,97,81,47,36,17,6,100,78,39,33,17,6,94,83,56,39,17,6,3,19,53,64,83,94,0,22,61,67,83,94,6,17,44,61,83,94,26,12,5,15,7,2,11,5,3,72,33,14,83,39,11,61,28,17,22,39,6,36,19,28,11,50,61,39,33,11,56,47,67,28,18,8,10,50,44,56,21,7,14,58,39,78,7,6,1,19,33,6,25,33,17,39,39,39,36,28,44,3.36,2.61,4.11,2.19,2.56,1.83,81,72,64,53,39,36,22,8,0.95,1.02,0.88,1.77,1.57,1.96,64,0,8,3,2,5,4,4,3,7,3,6,8,5,8,12,5,7,13,28,33,22,50,28,72,8
Brentford FC,Brentford,2022/2023,England,36,18,18,0,13,9,4,14,7,7,9,2,7,1.47,1.89,1.06,9,8,11,9,54,45,9,99,52,47,34,20,18,27,16,-7,60,48,81,72,90,60,11,6,5,19,11,8,9,2,7,18,13,5,158,90,68,52,26,26,44,44,43,413,241,172,188,110,78,225,131,94,332,159,173,27,18,9,22,6,16,5,12,-7,13,10,3,12,5,7,11,3,8,1.42,1.94,0.89,2.75,2.89,2.61,1.5,1.89,1.11,1.25,1,1.5,1.36,1.33,1.39,0.75,1,0.5,0.61,0.33,0.89,33,30,16,11,5,3,17,17,9,5,2,1,16,13,7,6,3,2,3,6,20,25,31,33,1,1,9,13,16,17,2,5,11,12,15,16,92,83,44,31,14,8,94,94,50,28,11,6,89,72,39,33,17,11,8,17,56,69,86,92,6,6,50,72,89,94,11,28,61,67,83,89,28,14,5,14,7,2,14,7,3,78,39,14,78,39,11,78,39,17,36,50,22,23,31,33,28,53,61,44,25,11,39,50,72,28,20,13,7,56,72,39,18,7,11,50,39,61,6,2,4,17,11,22,36,56,17,33,28,39,31,17,44,4.39,5.00,3.78,1.44,1.44,1.44,83,78,64,56,47,36,25,11,1.42,1.64,1.19,1.74,1.58,1.91,56,3,6,4,5,11,4,3,7,11,4,5,8,2,6,6,5,2,7,39,39,39,25,11,39,6
Leeds United FC,Leeds United,2022/2023,England,36,18,18,0,7,5,2,10,7,3,19,6,13,0.86,1.22,0.5,18,17,19,18,46,71,-25,117,58,59,25,21,33,38,-8,-17,70,65,77,46,49,43,5,4,1,24,12,12,10,4,6,14,8,6,183,99,84,85,40,45,47,48,46,450,243,207,175,93,82,275,150,125,422,214,208,20,12,8,28,14,14,-8,-2,-6,6,3,3,18,10,8,12,5,7,1,1.06,0.94,3.25,3.22,3.28,1.28,1.39,1.17,1.97,1.83,2.11,1.33,1.44,1.22,0.56,0.67,0.44,0.78,0.78,0.78,33,27,23,15,9,6,16,14,11,8,4,3,17,13,12,7,5,3,3,9,13,21,27,30,2,4,7,10,14,15,1,5,6,11,13,15,92,75,64,42,25,17,89,78,61,44,22,17,94,72,67,39,28,17,8,25,36,58,75,83,11,22,39,56,78,83,6,28,33,61,72,83,26,17,5,14,10,2,12,7,3,72,47,14,78,56,11,67,39,17,19,28,11,8,14,22,6,67,67,67,28,22,33,39,44,33,14,6,8,39,33,44,19,8,11,53,44,61,13,8,5,36,44,28,17,17,17,50,56,44,33,28,39,5.08,5.50,4.67,2.36,2.22,2.50,89,83,67,53,42,19,11,11,1.48,1.59,1.36,1.66,1.56,1.75,92,7,3,3,4,7,3,4,9,6,3,8,6,7,7,9,12,10,9,28,39,17,53,33,72,8
Wolverhampton Wanderers FC,Wolverhampton Wanderers,2022/2023,England,36,18,18,0,11,9,2,7,2,5,18,7,11,1.11,1.61,0.61,13,10,18,13,30,52,-22,82,37,45,18,12,19,33,-1,-21,108,90,134,63,85,49,11,10,1,13,3,10,14,6,8,15,10,5,180,100,80,90,48,42,50,48,52,409,207,202,156,90,66,253,117,136,413,201,212,16,10,6,21,7,14,-5,3,-8,10,7,3,15,8,7,11,3,8,1.25,1.61,0.89,2.28,2.06,2.5,0.83,1,0.67,1.44,1.06,1.83,1.03,0.94,1.11,0.44,0.56,0.33,0.58,0.39,0.78,34,25,14,4,3,2,17,9,5,3,2,1,17,16,9,1,1,1,2,11,22,32,33,34,1,9,13,15,16,17,1,2,9,17,17,17,94,69,39,11,8,6,94,50,28,17,11,6,94,89,50,6,6,6,6,31,61,89,92,94,6,50,72,83,89,94,6,11,50,94,94,94,25,8,2,11,4,1,14,4,1,69,22,6,61,22,6,78,22,6,31,50,11,23,31,56,6,36,17,56,39,33,44,42,56,28,21,14,7,58,78,39,22,10,12,61,56,67,4,1,3,11,6,17,28,39,17,42,44,39,31,17,44,5.00,5.56,4.44,2.5,2.67,2.33,89,67,61,50,44,36,25,19,1.21,1.25,1.16,1.68,1.61,1.75,44,4,4,3,4,2,2,3,3,5,6,3,5,5,8,4,7,9,5,19,11,28,50,39,61,14
